Date,Price,Volume,CirSupply,Velocity,Valuation
2021-07-28,12.26,5569804,172418159,0.03,0.01
2021-07-29,12.42,5372070,173380772,0.03,0.01
2021-07-30,13.00,5471827,173388267,0.03,0.01
2021-07-31,13.59,5000935,173404616,0.03,0.01
2021-08-01,12.88,7062452,173425850,0.04,0.02
2021-08-02,13.01,4228020,173440519,0.02,0.01
2021-08-03,12.53,4853214,173461760,0.03,0.01
2021-08-04,13.68,4891238,173489784,0.03,0.01
2021-08-05,13.83,5494423,173494432,0.03,0.01
2021-08-06,14.73,7190183,173496904,0.04,0.03
2021-08-07,15.76,8166518,173498704,0.05,0.03
2021-08-08,14.81,5284169,173501273,0.03,0.01
2021-08-09,16.23,8838409,173508543,0.05,0.04
2021-08-10,16.45,7593556,173529423,0.04,0.03
2021-08-11,16.75,7327347,173532044,0.04,0.03
2021-08-12,16.57,6768617,173532384,0.04,0.03
2021-08-13,18.05,6308412,173545599,0.04,0.02
2021-08-14,18.07,5622507,173546053,0.03,0.02
2021-08-15,18.80,5385186,173571279,0.03,0.02
2021-08-16,19.18,13180418,173574028,0.08,0.11
2021-08-17,23.53,31363499,173609460,0.18,0.77
2021-08-18,29.89,39171164,173618342,0.23,1.52
2021-08-19,30.63,36441665,173628256,0.21,1.35
2021-08-20,39.19,24572870,173631299,0.14,0.78
2021-08-21,43.79,44115089,173672940,0.25,2.83
2021-08-22,43.53,26733054,173671703,0.15,1.03
2021-08-23,46.45,32893329,173674617,0.19,1.67
2021-08-24,55.35,40642352,173823584,0.23,3.03
2021-08-25,46.12,33429944,174032953,0.19,1.70
2021-08-26,41.42,29020562,174204675,0.17,1.15
2021-08-27,50.08,33400269,174370537,0.19,1.84
2021-08-28,50.20,23212244,174556150,0.13,0.89
2021-08-29,47.51,16632744,174749614,0.10,0.43
2021-08-30,41.33,20886418,174930571,0.12,0.59
2021-08-31,39.49,21862734,175111089,0.12,0.62
2021-09-01,41.93,24856405,175267396,0.14,0.84
2021-09-02,47.76,20258739,175578574,0.12,0.64
2021-09-03,45.91,28143408,176064450,0.16,1.17
2021-09-04,47.14,19531102,176867515,0.11,0.57
2021-09-05,48.18,18064166,219916974,0.08,0.33
2021-09-06,47.04,25009277,220079536,0.11,0.61
2021-09-07,37.60,40029702,220286146,0.18,1.24
2021-09-08,37.05,25157922,220286572,0.11,0.48
2021-09-09,40.77,32655186,220286581,0.15,0.90
2021-09-10,49.19,49562360,220286573,0.22,2.49
2021-09-11,57.16,44830145,220286570,0.20,2.37
2021-09-12,59.26,45789634,220286578,0.21,2.56
2021-09-13,53.11,47323259,220286573,0.21,2.45
2021-09-14,51.58,24100787,220286580,0.11,0.62
2021-09-15,57.63,19779718,220286578,0.09,0.46
2021-09-16,67.84,42418363,220286576,0.19,2.52
2021-09-17,69.93,30737153,220286579,0.14,1.36
2021-09-18,69.01,28281712,220286587,0.13,1.14
2021-09-19,70.08,26071839,220286568,0.12,0.98
2021-09-20,56.68,41322530,220286576,0.19,1.99
2021-09-21,59.02,44694167,220286580,0.20,2.43
2021-09-22,74.19,35589533,220286579,0.16,1.94
2021-09-23,76.42,30575508,220286571,0.14,1.47
2021-09-24,72.40,30918969,220286574,0.14,1.43
2021-09-25,68.38,14950504,220286571,0.07,0.31
2021-09-26,66.86,19181611,220286583,0.09,0.51
2021-09-27,66.51,18206796,220286571,0.08,0.45
2021-09-28,61.52,16092339,220286585,0.07,0.33
2021-09-29,65.52,20858968,220286587,0.09,0.59
2021-09-30,66.77,16819657,220286586,0.08,0.39
2021-10-01,67.57,21337691,220286567,0.10,0.63
2021-10-02,69.22,20099010,220286575,0.09,0.58
2021-10-03,68.72,14605990,220286573,0.07,0.30
2021-10-04,65.16,14573804,220286592,0.07,0.29
2021-10-05,64.65,12577858,220286588,0.06,0.21
2021-10-06,60.11,16035706,220286574,0.07,0.32
2021-10-07,61.49,14749071,220286576,0.07,0.28
2021-10-08,60.52,13429522,220286570,0.06,0.22
2021-10-09,60.57,6092129,220286572,0.03,0.05
2021-10-10,56.59,7960320,220286578,0.04,0.07
2021-10-11,55.30,10685175,220286580,0.05,0.13
2021-10-12,54.36,12746325,220286586,0.06,0.18
2021-10-13,55.15,11893391,220286579,0.05,0.16
2021-10-14,56.08,9302576,220286581,0.04,0.10
2021-10-15,56.25,9947680,220286583,0.05,0.11
2021-10-16,57.48,12700076,220286581,0.06,0.19
2021-10-17,56.08,6929341,220286583,0.03,0.06
2021-10-18,55.47,5441210,220286573,0.02,0.03
2021-10-19,56.82,6498043,220286578,0.03,0.05
2021-10-20,59.56,9365520,220286577,0.04,0.11
2021-10-21,61.31,13610651,220286580,0.06,0.23
2021-10-22,65.46,18868398,220286587,0.09,0.48
2021-10-23,65.46,10325289,220286581,0.05,0.14
2021-10-24,64.52,7948339,220286568,0.04,0.08
2021-10-25,69.82,8018786,220286578,0.04,0.09
2021-10-26,68.87,13268993,220286588,0.06,0.25
2021-10-27,61.52,15397436,220286576,0.07,0.30
2021-10-28,64.43,9215904,220286566,0.04,0.11
2021-10-29,64.77,6028471,220286567,0.03,0.05
2021-10-30,62.42,5456219,220286578,0.02,0.04
2021-10-31,64.29,6001666,220286575,0.03,0.05
2021-11-01,65.07,8504341,220286572,0.04,0.10
2021-11-02,67.58,6470241,220286566,0.03,0.06
2021-11-03,75.43,14725532,220286568,0.07,0.34
2021-11-04,79.29,14371679,220286585,0.07,0.34
2021-11-05,74.36,7979251,220286576,0.04,0.10
2021-11-06,78.69,6192978,220286580,0.03,0.06
2021-11-07,87.71,15065928,220286584,0.07,0.41
2021-11-08,91.18,21435722,220286578,0.10,0.86
2021-11-09,88.45,8821268,220286584,0.04,0.14
2021-11-10,85.30,15213658,220286578,0.07,0.41
2021-11-11,88.06,7506275,220286577,0.03,0.10
2021-11-12,84.72,7985051,220286573,0.04,0.11
2021-11-13,97.26,11770442,220286578,0.05,0.28
2021-11-14,95.40,11974238,220286568,0.05,0.28
2021-11-15,93.55,12859236,220286581,0.06,0.32
2021-11-16,97.98,18815822,220286569,0.09,0.71
2021-11-17,107.80,22200801,220286579,0.10,1.09
2021-11-18,100.25,19153519,220286572,0.09,0.76
2021-11-19,112.02,13946594,220286578,0.06,0.45
2021-11-20,125.77,18220324,220286573,0.08,0.86
2021-11-21,128.60,26277610,220286571,0.12,1.83
2021-11-22,134.53,23870378,223848879,0.11,1.53
2021-11-23,123.83,15820932,223849491,0.07,0.62
2021-11-24,120.23,15825110,223852345,0.07,0.60
2021-11-25,122.65,18214361,223847562,0.08,0.81
2021-11-26,103.83,16496991,223835070,0.07,0.56
2021-11-27,113.28,10690894,223834131,0.05,0.26
2021-11-28,110.59,12859589,223837604,0.06,0.37
2021-11-29,120.26,10207171,223835123,0.05,0.25
2021-11-30,120.34,14416081,223845001,0.06,0.50
2021-12-01,119.75,12003441,223958959,0.05,0.34
2021-12-02,107.87,10364126,223960954,0.05,0.23
2021-12-03,108.14,12755325,223960791,0.06,0.35
2021-12-04,92.88,22617569,242704158,0.09,0.81
2021-12-05,85.79,14231871,242743147,0.06,0.29
2021-12-06,93.32,19140363,242752693,0.08,0.58
2021-12-07,89.95,11861129,242782171,0.05,0.21
2021-12-08,93.22,7903404,242802033,0.03,0.10
2021-12-09,85.46,10748420,242811395,0.04,0.17
2021-12-10,80.74,12777535,242845224,0.05,0.22
2021-12-11,86.39,9341426,243064881,0.04,0.13
2021-12-12,88.11,6763336,243090566,0.03,0.07
2021-12-13,79.15,14486600,243092489,0.06,0.28
2021-12-14,87.31,11908190,243092930,0.05,0.21
2021-12-15,101.18,23693473,243158952,0.10,0.96
